"unigram","bigram","trigram","freq"
"i","alway","feel",5
"i","alway","thought",5
"i","can","find",5
"i","can","go",5
"i","can","start",5
"i","can","still",5
"i","cant","get",5
"i","dont","need",5
"i","dont","understand",5
"i","feel","bad",5
"i","got","home",5
"i","got","i",5
"i","guess","that",5
"i","hard","time",5
"i","hate","peopl",5
"i","havent","heard",5
"i","honest","dont",5
"i","hope","enjoy",5
"i","i","dont",5
"i","know","but",5
"i","know","ill",5
"i","know","mani",5
"i","know","u",5
"i","love","make",5
"i","love","peopl",5
"i","love","that",5
"i","love","the",5
"i","manag","get",5
"i","need","find",5
"i","need","i",5
"i","need","new",5
"i","need","start",5
"i","never","realli",5
"i","realli","love",5
"i","still","havent",5
"i","still","want",5
"i","sure","i",5
"i","think","go",5
"i","think","might",5
"i","think","realli",5
"i","want","share",5
"i","will","give",5
"i","will","just",5
"i","will","miss",5
"i","will","never",5
"i","will","take",5
"i","will","tell",5
"i","will","tri",5
"i","wonder","i",5
"if","dont","like",5
"if","youd","like",5
"im","gonna","go",5
"im","look","forward",5
"incorpor","item","c",5
"just","let","know",5
"keep","great","work",5
"know","i","just",5
"know","i","mean",5
"know","what","go",5
"last","year","the",5
"let","know","think",5
"lol","i","know",5
"long","time","ago",5
"look","forward","read",5
"make","feel","like",5
"make","look","like",5
"mean","i","dont",5
"much","better","i",5
"my","best","friend",5
"my","mind","eye",5
"new","zealand","australia",5
"now","i","cant",5
"now","i","go",5
"one","i","think",5
"presid","barack","obama",5
"rt","i","dont",5
"so","now","i",5
"someth","i","can",5
"spend","rest","life",5
"st","patti","day",5
"stop","say","hi",5
"thank","follow","back",5
"thank","follow","us",5
"thank","rt","thank",5
"the","first","time",5
"the","next","morn",5
"thing","i","can",5
"think","i","might",5
"think","i","think",5
"think","i","will",5
"think","im","crazi",5
"this","first","time",5
"thought","id","share",5
"time","i","saw",5
"time","i","will",5
"time","year","i",5
"today","i","think",5
"two","year","ago",5
"wanna","go","back",5
"we","just","got",5
"week","ago","i",5
"will","alway","love",5
"world","war","ii",5
"wow","just","wow",5
"year","old","boy",5
"yes","i","love",5
"you","can","find",5
"a","week","ago",4
"alway","find","way",4
"amaz","i","love",4
"amazon","servic","llc",4
"and","i","know",4
"anyon","know","i",4
"anyth","i","can",4
"as","can","see",4
"as","i","said",4
"ass","ass","ass",4
"at","one","point",4
"back","next","week",4
"best","i","can",4
"birthday","i","love",4
"but","i","know",4
"but","i","think",4
"can","see","i",4
"chines","new","year",4
"class","dont","cri",4
"come","join","us",4
"cri","class","dont",4
"day","i","alway",4
"day","i","think",4
"day","im","go",4
"doe","anyon","know",4
"doesnt","look","like",4
"dont","forget","stop",4
"dont","get","caught",4
"dont","know","anyth",4
"dont","know","much",4
"dont","realli","care",4
"dont","think","that",4
"dont","want","get",4
"everi","singl","time",4
"everyon","i","know",4
"everyth","happen","reason",4
"fact","i","can",4
"feel","like","ive",4
"feel","realli","good",4
"first","day","spring",4
"first","time","sinc",4
"first","time","year",4
"five","year","old",4
"follow","back","i",4
"follow","but","i",4
"follow","look","forward",4
"get","i","cant",4
"give","us","shout",4
"good","i","just",4
"good","morn","good",4
"good","morn","twitter",4
"good","one","i",4
"great","meet","today",4
"guess","i","will",4
"happi","birthday","d",4
"happi","birthday","happi",4
"happi","friday","everyon",4
"happi","valentin","day",4
"have","great","week",4
"hey","i","just",4
"hope","everyon","enjoy",4
"hope","i","dont",4
"hope","i","will",4
"hope","will","come",4
"how","mani","time",4
"i","also","love",4
"i","also","want",4
"i","alway","love",4
"i","ask","question",4
"i","believ","i",4
"i","bought","one",4
"i","can","also",4
"i","can","alway",4
"i","can","honest",4
"i","can","i",4
"i","can","just",4
"i","can","read",4
"i","cant","just",4
"i","cant","seem",4
"i","cant","stop",4
"i","care","less",4
"i","come","back",4
"i","couldnt","even",4
"i","couldnt","think",4
"i","didnt","go",4
"i","dont","go",4
"i","dont","live",4
"i","fell","love",4
"i","final","got",4
"i","get","better",4
"i","get","see",4
"i","guess","im",4
"i","happi","i",4
"i","havent","made",4
"i","havent","read",4
"i","hope","can",4
"i","hope","get",4
"i","hope","great",4
"i","hope","help",4
"i","hope","make",4
"i","hope","will",4
"i","just","finish",4
"i","just","hope",4
"i","just","look",4
"i","just","made",4
"i","just","miss",4
"i","just","realiz",4
"i","just","said",4
"i","just","say",4
"i","just","watch",4
"i","just","went",4
"i","kid","i",4
"i","know","and",4
"i","know","good",4
"i","know","lot",4
"i","know","one",4
"i","know","real",4
"i","like","i",4
"i","love","babi",4
"i","love","even",4
"i","love","if",4
"i","love","mom",4
"i","love","much",4
"i","love","watch",4
"i","love","way",4
"i","mean","realli",4
"i","might","just",4
"i","now","know",4
"i","realli","cant",4
"i","realli","just",4
"i","realli","think",4
"i","realli","wish",4
"i","see","one",4
"i","sorri","i",4
"i","start","write",4
"i","still","use",4
"i","suppos","i",4
"i","think","get",4
"i","think","great",4
"i","think","ill",4
"i","think","may",4
"i","think","the",4
"i","think","theyr",4
"i","think","yes",4
"i","tri","hard",4
"i","turn","around",4
"i","wanna","know",4
"i","wanna","see",4
"i","want","give",4
"i","want","look",4
"i","want","make",4
"i","want","someon",4
"i","went","back",4
"i","will","add",4
"i","will","alway",4
"i","will","bring",4
"i","will","continu",4
"i","will","follow",4
"i","will","probabl",4
"i","wish","just",4
"i","wonder","mani",4
"i","wouldnt","abl",4
"id","love","hear",4
"id","love","see",4
"id","never","heard",4
"if","dont","know",4
"if","dont","want",4
"if","i","get",4
"if","i","want",4
"if","your","go",4
"im","excit","i",4
"im","go","go",4
"im","gonna","miss",4
"im","happi","i",4
"im","sure","mani",4
"in","end","i",4
"in","last","day",4
"it","feel","like",4
"it","sound","like",4
"it","wasnt","like",4
"item","c","pp",4
"its","beauti","day",4
"its","good","day",4
"its","offici","i",4
"ive","alway","want",4
"ive","never","heard",4
"ive","never","seen",4
"job","i","love",4
"just","dont","know",4
"just","like","i",4
"just","made","day",4
"just","one","thing",4
"just","pig","about",4
"just","want","make",4
"just","want","say",4
"last","day","i",4
"last","two","day",4
"leav","comment","post",4
"let","go","i",4
"let","go","laker",4
"let","know","goe",4
"let","us","help",4
"level","mp","cost",4
"life","i","dont",4
"life","i","love",4
"like","i","got",4
"like","i","just",4
"like","i","need",4
"lol","i","dont",4
"long","time","the",4
"look","forward","day",4
"look","forward","meet",4
"look","forward","tweet",4
"look","just","like",4
"make","eye","contact",4
"make","sens","i",4
"mani","time","i",4
"memori","day","weekend",4
"my","year","old",4
"need","i","can",4
"need","let","know",4
"never","thought","id",4
"new","year","eve",4
"new","year","everyon",4
"new","year","resolut",4
"new","york","i",4
"next","big","thing",4
"next","day","i",4
"next","morn","i",4
"night","i","think",4
"no","i","cant",4
"north","dakota","rental",4
"now","i","can",4
"now","i","get",4
"now","i","want",4
"now","look","like",4
"oh","i","miss",4
"oh","my","god",4
"oh","yeah","i",4
"one","can","see",4
"one","day","im",4
"one","i","just",4
"one","i","will",4
"peopl","dont","know",4
"peopl","dont","want",4
"peopl","i","know",4
"person","i","dont",4
"play","import","role",4
"pleas","feel","free",4
"pleas","follow","i",4
"please","follow","me",4
"post","i","will",4
"realli","dont","care",4
"realli","want","see",4
"right","now","just",4
"rt","thank","follow",4
"san","francisco","ca",4
"say","i","dont",4
"see","last","night",4
"seem","like","good",4
"sniper","squad","djs",4
"so","i","decid",4
"so","i","heard",4
"so","much","fun",4
"sometim","i","just",4
"sorri","i","miss",4
"still","feel","like",4
"still","sound","like",4
"tell","friend","follow",4
"ten","year","ago",4
"thank","follow","we",4
"thank","kind","word",4
"thank","let","us",4
"thank","rt","i",4
"that","doesnt","mean",4
"that","i","love",4
"that","much","i",4
"the","dark","knight",4
"the","next","day",4
"the","thing","i",4
"thing","get","better",4
"thing","i","like",4
"think","i","like",4
"this","week","i",4
"though","i","dont",4
"three","time","week",4
"time","i","check",4
"time","i","see",4
"time","i","think",4
"today","last","day",4
"today","look","forward",4
"two","day","i",4
"two","week","ago",4
"two","week","i",4
"use","copic","marker",4
"want","make","sure",4
"way","when","i",4
"what","world","come",4
"when","i","get",4
"when","i","look",4
"when","last","time",4
"will","announc","winner",4
"will","get","back",4
"will","i","will",4
"williston","north","dakota",4
"wish","happi","birthday",4
"work","i","want",4
"year","later","i",4
"year","now","i",4
"year","old","girl",4
"year","old","sister",4
"you","can","get",4
"you","dont","know",4
"you","know","your",4
"you","want","know",4
"a","big","thank",3
"a","day","ago",3
"all","can","eat",3
"all","joke","asid",3
"along","way","i",3
"also","said","i",3
"alway","come","back",3
"and","i","cant",3
"and","i","like",3
"and","i","love",3
"and","i","think",3
"and","i","will",3
"and","just","like",3
"anyon","els","notic",3
"anyon","els","problem",3
"april","fool","day",3
"as","far","i",3
"as","know","i",3
"as","much","i",3
"ask","question","i",3
"at","least","didnt",3
"babi","girl","i",3
"back","i","know",3
"back","i","love",3
"bad","i","just",3
"bad","thing","happen",3
"band","bride","demand",3
"be","sure","leav",3
"believ","i","say",3
"best","day","life",3
"better","i","dont",3
"better","right","now",3
"birthday","im","gonna",3
"blog","i","will",3
"boo","boo","child",3
"book","i","read",3
"breath","fresh","air",3
"bud","light","platinum",3
"bull","mountain","dew",3
"but","i","didnt",3
"but","i","dont",3
"but","i","got",3
"but","i","live",3
"but","i","love",3
"by","time","got",3
"can","get","i",3
"can","give","us",3
"can","help","us",3
"can","i","just",3
"can","interview","wednesday",3
"can","never","find",3
"cant","come","soon",3
"cant","find","anyth",3
"cant","go","back",3
"cant","say","i",3
"cant","sleep","i",3
"cant","wait","go",3
"cant","wait","show",3
"cant","wait","tri",3
"cant","wait","work",3
"celebr","cinco","de",3
"cf","rom","ps",3
"child","sexual","abus",3
"chocol","chip","cooki",3
"chuck","norri","mean",3
"come","back","twitter",3
"come","soon","enough",3
"come","visit","us",3
"cool","i","guess",3
"cost","durat","second",3
"date","jerusalem","destruct",3
"day","i","can",3
"day","i","didnt",3
"day","i","dont",3
"day","i","found",3
"day","i","got",3
"day","i","love",3
"day","i","need",3
"day","i","took",3
"day","life","the",3
"did","i","miss",3
"didnt","even","get",3
"dinner","last","night",3
"do","believ","god",3
"doe","anyon","els",3
"doesnt","seem","like",3
"dont","even","get",3
"dont","forget","follow",3
"dont","give","a",3
"dont","know","can",3
"dont","know","go",3
"dont","know","happen",3
"dont","know","ill",3
"dont","know","mean",3
"dont","know","you",3
"dont","like","i",3
"dont","rememb","i",3
"dont","think","your",3
"dont","wanna","go",3
"dont","want","miss",3
"dream","come","true",3
"eastern","confer","final",3
"email","address","i",3
"emot","roller","coaster",3
"escap","fast","escap",3
"even","i","dont",3
"everi","one","us",3
"everi","singl","one",3
"everyon","els","i",3
"everyon","great","weekend",3
"exact","i","want",3
"excit","i","just",3
"explain","i","didnt",3
"far","i","know",3
"father","son","holi",3
"feel","better","i",3
"feel","free","contact",3
"feel","like","shit",3
"first","thing","i",3
"first","thing","morn",3
"flour","bake","powder",3
"follow","back","d",3
"follow","blog","i",3
"follow","i","will",3
"follow","now","follow",3
"follow","thank","much",3
"follow","us","twitter",3
"for","reason","i",3
"for","record","i",3
"forgot","take","pictur",3
"friend","famili","i",3
"friend","follow","us",3
"friend","have","great",3
"friend","i","dont",3
"fun","i","love",3
"fun","i","think",3
"georg","bernard","shaw",3
"get","first","job",3
"get","follow","back",3
"get","hit","car",3
"get","job","done",3
"get","much","better",3
"get","readi","leav",3
"get","readi","show",3
"get","readi","work",3
"get","right","i",3
"get","well","soon",3
"girl","i","like",3
"glass","half","full",3
"go","back","school",3
"go","i","didnt",3
"go","i","want",3
"go","i","will",3
"go","im","go",3
"go","oh","im",3
"go","right","now",3
"go","see","the",3
"god","creat","man",3
"god","i","love",3
"good","day","i",3
"good","day","thank",3
"good","food","good",3
"good","idea","i",3
"good","luck","let",3
"good","luck","the",3
"good","morn","happi",3
"good","morn","hope",3
"good","morn","i",3
"good","morn","world",3
"good","night","twitter",3
"good","old","fashion",3
"got","back","i",3
"got","phone","call",3
"grand","scheme","thing",3
"great","gift","idea",3
"great","i","think",3
"great","job","i",3
"ground","black","pepper",3
"haha","i","can",3
"haha","yeah","i",3
"hair","look","like",3
"hand","loom","weav",3
"happen","i","think",3
"happi","birthday","best",3
"happi","friday","th",3
"happi","hump","day",3
"happi","memori","day",3
"happi","th","juli",3
"happi","thanksgiv","everyon",3
"hard","last","night",3
"have","great","one",3
"help","get","follow",3
"help","i","think",3
"high","school","kid",3
"hillerhelp","in","collaborativelaw",3
"home","sweet","home",3
"honest","dont","know",3
"hope","can","make",3
"hope","great","weekend",3
"hope","u","great",3
"hope","u","r",3
"how","often","happen",3
"i","admit","i",3
"i","agre","i",3
"i","aint","even",3
"i","also","bought",3
"i","also","found",3
"i","also","hope",3
"i","alway","found",3
"i","believ","god",3
"i","believ","will",3
"i","call","back",3
"i","came","back",3
"i","can","accept",3
"i","can","add",3
"i","can","bare",3
"i","can","easili",3
"i","can","eat",3
"i","can","feel",3
"i","can","let",3
"i","can","send",3
"i","can","spend",3
"i","can","swim",3
"i","can","total",3
"i","can","use",3
"i","can","work",3
"i","cant","make",3
"i","cant","tell",3
"i","cant","think",3
"i","come","across",3
"i","come","conclus",3
"i","complet","agre",3
"i","confess","i",3
"i","couldnt","agre",3
"i","couldnt","find",3
"i","couldnt","help",3
"i","couldnt","see",3
"i","decid","make",3
"i","didnt","like",3
"i","didnt","need",3
"i","die","i",3
"i","disappoint","i",3
"i","dont","mind",3
"i","dont","run",3
"i","dont","watch",3
"i","dont","wear",3
"i","even","got",3
"i","feel","realli",3
"i","feel","way",3
"i","fell","asleep",3
"i","figur","id",3
"i","final","found",3
"i","follow","now",3
"i","freak","love",3
"i","fuck","hate",3
"i","get","home",3
"i","get","i",3
"i","get","paid",3
"i","get","work",3
"i","go","miss",3
"i","got","email",3
"i","got","job",3
"i","got","littl",3
"i","got","work",3
"i","gotta","go",3
"i","grate","i",3
"i","great","time",3
"i","guess","ill",3
"i","hate","get",3
"i","hate","go",3
"i","hate","see",3
"i","hate","sick",3
"i","havent","gotten",3
"i","havent","post",3
"i","high","doubt",3
"i","hope","like",3
"i","hope","u",3
"i","i","got",3
"i","i","will",3
"i","just","couldnt",3
"i","just","feel",3
"i","just","get",3
"i","just","hate",3
"i","just","learn",3
"i","just","put",3
"i","just","read",3
"i","just","realli",3
"i","just","tri",3
"i","know","cant",3
"i","know","day",3
"i","know","isnt",3
"i","know","ive",3
"i","know","peopl",3
"i","know","thank",3
"i","know","that",3
"i","know","what",3
"i","know","your",3
"i","like","best",3
"i","like","go",3
"i","like","look",3
"i","like","see",3
"i","like","thing",3
"i","look","around",3
"i","look","i",3
"i","look","mirror",3
"i","lot","fun",3
"i","love","dear",3
"i","love","everyon",3
"i","love","music",3
"i","love","old",3
"i","love","rain",3
"i","love","read",3
"i","love","wife",3
"i","made","sure",3
"i","may","go",3
"i","may","never",3
"i","mention","i",3
"i","miss","show",3
"i","miss","someth",3
"i","need","follow",3
"i","need","go",3
"i","need","just",3
"i","need","more",3
"i","need","someon",3
"i","need","someth",3
"i","need","stop",3
"i","never","abl",3
"i","never","done",3
"i","never","got",3
"i","never","saw",3
"i","one","want",3
"i","pretti","good",3
"i","pretti","much",3
"i","pretti","sure",3
"i","promis","youll",3
"i","put","togeth",3
"i","realli","appreci",3
"i","realli","didnt",3
"i","realli","feel",3
"i","realli","good",3
"i","realli","hope",3
"i","realli","look",3
"i","rememb","first",3
"i","rememb","i",3
"i","saw","today",3
"i","see","i",3
"i","see","reason",3
"i","sleep","well",3
"i","spent","hour",3
"i","spent","time",3
"i","start","blog",3
"i","stay","home",3
"i","still","got",3
"i","still","like",3
"i","still","need",3
"i","tell","i",3
"i","think","can",3
"i","think","chanc",3
"i","think","hes",3
"i","think","id",3
"i","think","lot",3
"i","think","make",3
"i","think","part",3
"i","think","peopl",3
"i","tri","find",3
"i","tri","get",3
"i","use","i",3
"i","usual","dont",3
"i","walk","away",3
"i","wanna","move",3
"i","want","cooki",3
"i","want","hear",3
"i","want","like",3
"i","want","talk",3
"i","want","write",3
"i","will","admit",3
"i","will","back",3
"i","will","be",3
"i","will","check",3
"i","will","go",3
"i","will","i",3
"i","will","like",3
"i","will","look",3
"i","will","play",3
"i","will","run",3
"i","will","say",3
"i","will","see",3
"i","will","send",3
"i","will","share",3
"i","work","hour",3
"id","never","seen",3
"if","anyth","i",3
"if","i","can",3
"if","i","i",3
"if","i","knew",3
"if","your","interest",3
"if","your","look",3
"if","youv","got",3
"im","also","go",3
"im","come","back",3
"im","entir","sure",3
"im","go","buy",3
"im","go","start",3
"im","go","tri",3
"im","gonna","start",3
"im","huge","fan",3
"im","i","dont",3
"im","jealous","i",3
"im","just","go",3
"im","just","say",3
"im","readi","love",3
"im","right","now",3
"im","sure","can",3
"im","sure","im",3
"im","sure","youv",3
"im","think","will",3
"in","articl","i",3
"in","larg","bowl",3
"in","mani","way",3
"in","past","year",3
"interview","wednesday","wallingford",3
"it","doesnt","look",3
"it","doesnt","matter",3
"it","felt","good",3
"its","year","sinc",3
"ive","seen","i",3
"jesus","invit","matter",3
"job","i","dont",3
"just","cant","i",3
"just","dont","like",3
"just","feel","like",3
"just","i","can",3
"just","i","need",3
"just","know","im",3
"just","let","go",3
"just","make","sure",3
"just","say","i",3
"just","say","im",3
"just","tri","get",3
"just","wanna","go",3
"keep","eye","open",3
"kid","i","love",3
"kitchen","tabl","i",3
"know","but","i",3
"know","i","come",3
"know","i","got",3
"know","i","think",3
"know","im","gonna",3
"know","littl","bit",3
"know","mani","peopl",3
"know","someth","i",3
"last","day","class",3
"last","month","i",3
"last","night","hope",3
"last","night","the",3
"learn","anyth","new",3
"learn","someth","new",3
"let","know","ill",3
"let","know","need",3
"like","but","i",3
"like","first","time",3
"like","i","havent",3
"like","i","like",3
"live","room","i",3
"lol","good","luck",3
"lol","good","morn",3
"lol","i","cant",3
"lol","i","just",3
"lol","thank","follow",3
"long","long","time",3
"look","back","i",3
"look","eye","i",3
"look","forward","get",3
"look","forward","great",3
"look","forward","next",3
"look","forward","tri",3
"look","like","might",3
"look","like","will",3
"look","mirror","i",3
"lord","i","will",3
"love","even","i",3
"love","i","love",3
"love","life","rehab",3
"love","mom","i",3
"love","u","much",3
"make","best","i",3
"make","great","day",3
"make","look","good",3
"make","sure","get",3
"make","sure","keep",3
"make","sure","stop",3
"make","two","us",3
"man","i","just",3
"mani","year","come",3
"martin","luther","king",3
"mayb","i","can",3
"me","please","please",3
"medium","heat","add",3
"meet","new","peopl",3
"mention","i","love",3
"might","i","just",3
"might","one","day",3
"might","think","im",3
"mom","i","love",3
"month","ago","i",3
"month","sinc","i",3
"morn","good","morn",3
"mother","day","mom",3
"move","upon","face",3
"mp","cost","durat",3
"my","last","tweet",3
"near","year","ago",3
"needless","say","i",3
"never","know","i",3
"new","follow","thank",3
"next","year","will",3
"night","happi","hour",3
"night","i","got",3
"nine","year","old",3
"no","i","dont",3
"no","one","know",3
"now","dont","know",3
"now","i","will",3
"occupi","wall","street",3
"of","cours","im",3
"oh","im","sorri",3
"oh","shit","oh",3
"oh","well","i",3
"ok","i","think",3
"ok","i","will",3
"ok","well","ill",3
"omg","i","cant",3
"omg","i","love",3
"on","to","the",3
"one","best","friend",3
"one","can","take",3
"one","day","will",3
"one","favorit","thing",3
"one","good","thing",3
"one","i","want",3
"one","last","time",3
"one","right","now",3
"one","step","ahead",3
"one","thing","common",3
"onlin","cours","requir",3
"or","mayb","i",3
"part","life","i",3
"past","coupl","year",3
"past","five","year",3
"patent","trademark","office",3
"peopl","just","dont",3
"peopl","make","feel",3
"place","i","thought",3
"pleas","click","link",3
"pleas","follow","back",3
"pleas","pleas","follow",3
"please","please","please",3
"point","i","realli",3
"point","i","think",3
"pop","say","hello",3
"red","bull","mountain",3
"red","red","red",3
"right","away","i",3
"right","now","dont",3
"right","now","get",3
"right","now","happi",3
"right","now","lol",3
"right","now","rt",3
"right","now","what",3
"right","you","know",3
"rip","junior","seau",3
"robert","downey","jr",3
"rock","paper","scissor",3
"rt","cant","wait",3
"rt","good","morn",3
"rt","i","just",3
"rt","i","think",3
"said","i","dont",3
"said","i","love",3
"said","i","think",3
"samuel","l","jackson",3
"san","diego","tonight",3
"saturday","morn","i",3
"say","can","get",3
"say","hello","i",3
"say","i","never",3
"see","i","get",3
"see","john","carter",3
"see","mani","peopl",3
"seem","like","lot",3
"seem","like","much",3
"seen","long","time",3
"seven","year","old",3
"sever","year","ago",3
"shit","oh","shit",3
"show","start","pm",3
"sinc","i","just",3
"sinc","i","littl",3
"sing","happi","birthday",3
"sleep","last","night",3
"smile","i","thought",3
"so","far","i",3
"so","good","see",3
"so","i","ask",3
"so","i","call",3
"so","i","cant",3
"so","i","went",3
"so","much","talent",3
"so","new","follow",3
"so","true","rt",3
"some","peopl","just",3
"some","peopl","make",3
"someth","goe","wrong",3
"someth","i","think",3
"sometim","i","think",3
"sometim","i","wonder",3
"son","holi","spirit",3
"sorri","i","couldnt",3
"sorri","i","dont",3
"sound","like","fun",3
"sound","like","good",3
"spend","much","time",3
"stay","home","mom",3
"still","dont","know",3
"stitch","knit","stitch",3
"stop","targeting","me",3
"suck","i","think",3
"summer","i","love",3
"sunday","night","i",3
"sure","i","happi",3
"swear","i","just",3
"take","deep","breath",3
"take","one","step",3
"take","step","back",3
"talk","behind","back",3
"talk","i","think",3
"talk","right","now",3
"targeting","me","stop",3
"tell","us","think",3
